number_of_reviews,calculated_host_listings_count,availability_365,room_type,price
0.14473684210526316,0.5,0.7698630136986302,0.0,55
0.013157894736842105,0.0,0.0,0.0,63
0.0,0.0,0.0,0.0,250
0.06578947368421052,0.0,0.0,0.0,70
0.0,0.0,0.0,0.0,70
0.19736842105263158,0.0,0.07397260273972603,0.0,100
0.0,0.0,0.0136986301369863,0.0,129
0.05263157894736842,0.0,0.008219178082191782,0.0,43
0.0,0.0,0.21095890410958903,1.0,85
0.05263157894736842,0.0,0.0,0.0,39
0.10526315789473684,0.0,0.008219178082191782,0.5,175
0.0,0.0,1.0,1.0,99
0.0,0.0,0.0,0.0,38
0.5526315789473684,0.0,0.2493150684931507,0.5,130
0.07894736842105263,0.0,0.0,0.0,60
0.013157894736842105,0.0,0.0,0.5,80
0.06578947368421052,0.0,0.0136986301369863,0.5,95
0.13157894736842105,0.0,0.0,0.5,105
0.013157894736842105,0.0,0.0,0.5,120
0.13157894736842105,0.0,0.0,0.5,185
0.05263157894736842,0.0,0.0,0.5,112
0.039473684210526314,0.5,0.0,0.0,139
0.23684210526315788,0.0,0.7671232876712328,0.0,69
0.013157894736842105,0.0,0.0,0.0,80
0.18421052631578946,0.5,0.0273972602739726,0.0,68
0.013157894736842105,0.0,0.9945205479452055,0.0,100
0.23684210526315788,0.5,0.852054794520548,0.0,75
0.0,0.0,1.0,0.0,85
0.06578947368421052,0.0,0.2602739726027397,0.0,135
0.013157894736842105,0.0,0.0,0.5,125
0.10526315789473684,0.0,0.2219178082191781,0.0,75
0.5263157894736842,0.0,0.0,0.5,184
0.039473684210526314,1.0,0.1780821917808219,0.0,50
0.02631578947368421,0.0,0.0,0.0,80
0.013157894736842105,0.0,0.136986301369863,0.5,133
0.0,0.0,0.13972602739726028,0.5,162
0.25,0.5,0.6821917808219178,0.0,104
0.039473684210526314,0.0,0.030136986301369864,0.5,198
0.15789473684210525,0.5,0.9753424657534246,0.0,53
0.02631578947368421,0.0,0.0,0.0,30
0.0,0.0,0.7123287671232876,0.0,250
0.22368421052631576,0.5,0.0,0.0,120
0.7763157894736842,0.0,0.24657534246575344,1.0,48
0.039473684210526314,0.5,0.9945205479452055,0.0,74
0.10526315789473684,0.0,0.024657534246575342,0.5,120
0.09210526315789473,0.0,0.1863013698630137,0.0,45
0.07894736842105263,0.0,0.0,0.0,149
0.43421052631578944,0.5,0.8356164383561644,0.5,165
0.013157894736842105,0.0,0.12328767123287672,0.0,51
0.0,0.0,0.0,0.0,75
0.8421052631578947,0.0,0.43561643835616437,0.5,190
0.013157894736842105,0.5,0.8547945205479452,0.0,80
0.42105263157894735,0.0,0.0821917808219178,0.0,78
0.43421052631578944,0.0,0.7726027397260274,0.0,50
0.05263157894736842,0.0,0.0,0.0,95
0.0,0.0,0.0,0.0,50
0.3157894736842105,0.0,0.6356164383561644,0.5,197
0.02631578947368421,0.0,0.6520547945205479,0.5,269
0.06578947368421052,0.0,0.0,0.5,149
0.22368421052631576,0.5,1.0,1.0,45
0.0,0.0,0.0,0.5,195
0.0,0.5,0.0,0.0,45
0.0,0.0,0.038356164383561646,0.5,250
0.05263157894736842,0.0,0.4301369863013699,0.5,120
0.3289473684210526,0.5,0.8712328767123287,0.0,67
0.02631578947368421,0.0,0.0,0.0,80
0.18421052631578946,0.0,0.0,0.5,220
0.02631578947368421,0.0,0.0,0.0,80
0.013157894736842105,0.0,0.0,0.5,200
0.039473684210526314,0.0,0.8465753424657534,0.5,160
0.02631578947368421,0.0,0.0,0.0,80
0.06578947368421052,0.5,0.2273972602739726,1.0,85
0.013157894736842105,0.0,0.0,0.0,55
0.15789473684210525,0.0,0.4383561643835616,0.0,89
0.013157894736842105,0.5,0.0,0.0,60
0.9605263157894737,0.0,0.5013698630136987,0.5,80
0.013157894736842105,0.0,0.0,0.0,65
0.40789473684210525,0.0,0.24383561643835616,0.5,150
0.13157894736842105,0.0,0.0,0.5,195
0.6578947368421052,0.0,0.4410958904109589,0.5,199
0.09210526315789473,0.0,0.4410958904109589,0.5,250
0.02631578947368421,0.0,0.0,0.5,125
0.0,1.0,0.2547945205479452,0.5,99
0.05263157894736842,0.0,0.0136986301369863,0.5,150
0.039473684210526314,0.0,0.0,0.5,108
0.0,0.0,0.0,0.0,45
0.013157894736842105,0.0,0.057534246575342465,0.0,105
0.013157894736842105,0.0,0.0,0.0,80
0.0,0.0,0.0,0.5,250
0.23684210526315788,1.0,0.6493150684931507,0.5,89
0.22368421052631576,0.5,0.5863013698630137,0.5,120
0.25,1.0,0.0,0.5,250
0.22368421052631576,0.0,0.9972602739726028,0.0,150
0.013157894736842105,0.5,0.0,0.0,55
0.513157894736842,0.0,0.06575342465753425,0.5,215
0.06578947368421052,0.0,0.0,0.5,115
